"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1437.93,1315.74,1260.05,863.66,639.71,945.09,896.17,852,813.84,774.45,750.13,731.18,1189.78,1235.81,1200.28,1286.79,1315.79,1460.83,1484.11,1758.9,1957.03,1904.56,2075.49,2116.47,2102.38,2068.27,2057.07,2058.4,2033.8,2065.04,1970.56
2,4827.04,3496.38,3264.83,3598.82,3921.62,4471.61,4908.94,4400.32,4819.08,5474.86,5892.59,6441.45,6753.89,7154.01,7580.14,8040.1,8568.57,9150.13,9912.17,10313.92,10749.49,11052.8,11227.97,11361.27,11586.84,11878.46,12291.87,12770.97,13317.1,13656.6,13192.45
3,8746.34,8431.38,8383.76,8027.37,7792.07,7935.17,8116.95,8074.75,8360.14,8506.33,8710.44,8855.01,9232.42,9771.67,10058.43,10504.85,10527.41,10717.77,10796.89,10782.35,10970.69,11078.23,11233.52,11319.08,11512.69,11696.95,11826.15,11737.4,11630.68,11521.98,10735.38
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,33732.01,33897.23,34268.54,33905.88,34576.54,35177.66,35548.63,36250.69,37413.44,38494.95,39732.28,40226.63,40388.63,40433.49,41272.63,41643.99,42367.57,43127.21,42996.21,41546.49,42147.67,42864.02,42790.63,42816.27,43021.39,43345.79,43705.15,44577.06,45284,46017.77,42313.19
6,5783.43,5649.78,5148.25,3788.51,3717.37,4139.64,4551.65,4728.16,4792.68,4740.67,4727.97,4766.84,5240.84,5218.21,5593.24,6210.22,6681.1,7341.87,7864.37,7643.5,7692.43,7675.45,8036.69,8140.53,8239.83,8036.41,7569,7310.9,6933.5,6670.33,6110.27
7,23973.54,18539.29,22790.69,23226.21,24799.53,23335.32,23301.04,24863.82,27786.68,28338.86,27779.36,27060.3,24542.92,25708.55,29423.96,33021.09,38543.43,45318.74,44612.31,33801.57,31501.11,31154.98,28920.15,27545.48,28786.99,29589.05,28011.78,24174.53,25343.55,26223.54,26223.54
8,15458.69,15588.26,15500.73,15992.15,16698.4,15628.32,16303.43,16828.35,17260.57,17551.73,18313.63,17207.91,17143.59,17953.05,18743.57,19683.84,21849.22,23511.07,23131.93,20048.02,18206.02,17605.44,17966.34,17643.13,18104.68,18594.55,19419.63,19840.28,21017.26,21850.13,17293.3
9,14144.76,15221.79,16209.33,17312.03,18092.02,17362.52,18104.7,19347.54,19866.25,18981.17,18625.28,17610.76,15523.04,16714.67,18032.61,19426.44,20777.65,22424.12,23103.46,21519.89,23521.27,24647.63,24118.87,24424.14,23550.1,23933.89,23189.53,23597.12,22747.24,22066.1,19690.66
10,5180.06,4616.94,2735.79,2554.17,2757.23,3008.23,3234.07,3378.94,3654.05,3798.67,4048.25,4464.39,5081.52,5823.72,6472.14,7419.87,8464.49,9708.42,10467.53,9052.38,9286.2,9725.28,10397.65,10691.28,11019.84,11321.33,11303.07,12115.14,12715.11,13653.76,12619.89
11,37035.03,38455.21,38559.1,38948.31,39830.52,39004.78,38097.98,39714.09,39655.92,39367.02,41499.64,39388.35,37256.66,37200.06,39440.67,39407.19,39504.47,40058.31,39968.28,35731.99,34343.15,35392.61,34732.5,35980.16,35875.63,37715.93,38314.81,38897.12,38211.83,37982.19,37982.19
12,31016.42,30502.61,30259.42,31173.47,32073.03,32902.77,33724.97,34653.19,35876.22,37219.64,38217.45,38474.15,39533.22,40262.91,41472.54,42222.27,42738.47,44072.88,44743.66,44649.16,44914.98,45389.17,46350.92,46744.63,47232.88,47569.29,48116.03,48398.55,49029.11,49309.11,48690.48
13,37494.56,38399.67,38774.49,38658.65,39435.21,40425.39,41319.37,42136.66,43597.89,45060.62,46469.86,46878.92,47419.28,47633.11,48633.27,49387.03,50840.69,52565.07,53166.05,51030.72,51843.43,53179.15,53297.44,52997.75,52932.9,52873.86,53345.74,54172.99,55258.37,55833.56,51855.71
14,7616.91,7463.63,5690.18,4309.92,3414.51,2977,2985.34,3128.16,3408.48,3628.72,3998.52,4360.46,4736.56,5180.69,5610.76,7106.6,9453.94,11684.19,12672.38,13565.86,14082.24,13913.84,14027.47,14651.69,14867.94,14852.61,14232.19,14121.41,14209.59,14442.04,13726.77
15,38144.15,35879.7,33855.81,33328.96,33782.25,34716.54,35698.51,37703.88,35604.78,39477.24,40565.93,41001.75,41420.99,40183.3,39804.52,40401.53,40644.64,40456.01,38792.45,36543.08,36547.43,36296.39,37005.38,35331.17,35801.92,36023.6,35701.23,35917.76,36539.66,36432.52,30846.58
16,38601.03,41770.64,43430.27,47819.42,46538.77,47157.22,47825.87,47957.07,48717.18,48988.57,49406.29,48245.78,47311.75,47476.98,47661.39,47493.15,46910.19,47000.32,46408.83,44759.39,44599.8,44157.48,45035.98,46930.83,48201.16,48110.73,47937.71,47709.78,46389.26,45311.86,41480.58
17,1517.73,1534.53,1582.31,1621.33,1648.73,1696.57,1735.92,1775.96,1829.5,1876.6,1937.73,1998.07,2037.24,2097.17,2171.69,2279.53,2399.08,2537.11,2659.05,2762.18,2883.47,3034.95,3195.78,3349.03,3511.65,3700.11,3920.14,4160.7,4440.86,4753.73,4871.45
18,13984.19,13388.59,12579.47,12632.19,12836.38,13042.62,13505.8,14086.07,14548.82,14537,15124.44,14713.4,14778.87,15050.4,15210.07,15752.36,16612.73,16903.87,16946.67,16019.71,15596.62,15444.75,15335.85,15088.44,15041.55,15382.77,15738.08,15789.04,15674.9,15639.05,12655.4
19,8895.17,8784.38,7923.65,7305.31,6458.21,5805.36,5988.04,6698.46,7293.91,7575.92,8053.17,8477.08,8961.64,9660.19,10839.96,11940.19,13214.87,14417.35,15942.9,16014.12,17300.7,18274.02,18611.45,18805.43,19119.35,18362.75,17883.13,18356.1,18974.7,19279.21,19186.78
20,35506.93,36023.68,36426.99,35935.96,36981.45,37784.15,38208.72,39562.37,40252.47,41583.1,43024.14,43347.89,43890.6,44160.91,45540.47,46342.19,47212.58,48590.4,48423.52,47064.79,47972.56,48154.87,48210.92,48204.59,48748.62,49456.4,49829.93,50442.27,51126.67,51944.17,48720.11
21,4854.98,5310.14,5852.83,6116.24,6002.79,5887.26,5784.2,5775.29,5765.63,6042.65,6599.32,6698.16,6819.46,7261.12,7413.88,7363.85,7519.41,7363.4,7426.87,7257.73,7294.66,7259.64,7264.64,7194.62,7322.88,7358.62,7206.95,7193.63,7261.69,7251.89,6121.84
22,2175.21,2191.84,2179.51,2227.35,2195.82,2253.12,2277.76,2336.55,2358.28,2411.99,2478.22,2532.63,2570.79,2579.7,2614.21,2581.64,2606.82,2685.13,2738.19,2724.08,2704.71,2707.87,2759.85,2876.9,2975.85,2945.97,2961.44,3044.52,3160.78,3287.31,3323.14
23,2880.57,2848.24,2979.91,3050.14,3205.29,3414.55,3559.03,3680.67,3810.86,4018.93,4061.5,4308.53,4686.01,4957.53,5165.17,5456.71,5761.75,6743.05,6995.78,7393.92,8190.58,8744.96,9084,9163.56,9574.03,10086.07,10775.19,11142.47,11348.44,11864.77,10551.45
24,4587.43,4728.05,4705.59,4804.54,4925.11,5050.31,5164.25,5312.08,5469.47,5386.18,5415.53,5402.76,5434.08,5479.27,5605.2,5749.53,5920.71,6085.39,6351.23,6455.97,6612.8,6844.98,7081.39,7444.49,7730.64,7984.41,8202.54,8423.7,8655.53,8724.47,7845.17
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,3229.57,2810.84,2099.09,1551.51,1653.42,2053.4,3946.67,5344.16,6180.71,6757.74,7604.51,7779.79,8162.5,8471.87,9002.91,9350.94,9856.97,10441.6,11035.04,10755.97,10938.28,11176.88,11257.83,11725.25,12066.59,12630.66,13194.32,13753.83,14386.73,14896.79,14509.26
27,8431.74,8790.35,8799.83,8740.44,8836.79,9232.01,9539.38,10094.14,9911.14,10636.85,10629.95,10457.15,10896.88,11205.4,11305.57,11600.33,12318.36,13056.67,13581.17,12298.83,13126.21,13724.67,14166.54,15597.62,16042.05,14895.9,15654.68,15948.03,16222.41,16347.91,14654.65
28,10520.74,10443.96,10211.3,10537.27,10973.25,11254.12,11321.39,11524.11,11387.62,11272.71,11600.95,11602.5,11800.84,11786.33,12316.37,12565.94,12922.16,13564.99,14114.97,13962.26,14873.21,15323.33,15478.79,15805.22,15749.51,15064.18,14451.15,14524.61,14668.26,14763.87,14063.98
29,12122.7,14466.7,17567.59,22565.24,27605.41,33774.17,36157.34,39658.42,43315.55,47137.81,50541.51,52071.05,49366.32,42099.96,42376.7,47045.57,44607.21,42306.09,40099.08,38130.57,37029.36,35311.49,35671.55,34763.64,36031.56,38136.23,40975.43,38146.72,38865,39544.24,39544.24
30,71232.79,71405.38,72705.73,70908.81,71176.34,72446.9,72695.15,69939.98,67986.14,68540.82,69022.88,69483.9,70771.6,71483.18,70616.62,69787.82,71843.52,71051.71,68856.16,66851.12,67753.42,69388.81,69090.34,66715.69,64190.82,63147.48,60867.29,60994.53,60389.18,62098.01,62200.88
31,12507.71,11565.37,10840.08,10765.15,10998.14,11362.64,12015.92,10382.85,10848.42,9993.45,10503.62,11124.5,12036.18,12767.26,13701.5,14779.19,15904.9,17078.36,18250.54,17767.51,18160.6,18661.47,18911.58,18911.12,19202.8,19988.22,20740.79,21469.94,22206.08,23265.87,22379.09
32,1017.54,1080.52,1054.25,1061.59,1046.61,1076.47,1162.45,1201.95,1254.14,1309.4,1296.75,1343.54,1362.28,1426.62,1447.5,1527.02,1574.73,1590.83,1632.95,1631.19,1716.36,1775.78,1834.54,1883.8,1907.95,1925.33,1981.43,2044.39,2117.81,2175.5,2155.77
33,1184.84,1215.89,1202.11,1105.23,1044.72,947.82,861.48,839.2,870.04,850.05,828,826.03,839.78,804.88,817.46,798.7,815.05,815.91,827.79,831.56,846.17,852.5,862.72,877.27,886.24,825.21,794.6,773.57,761.52,751.66,731.06
34,1748.62,1730.79,1868.64,1974.24,2288.24,2546.6,2769.28,3010.84,3319.84,3622.65,4065.48,4084.44,4228.51,4336.87,4709.04,4964.8,5291.05,6018.11,6341.2,6185.76,6200.34,6366.13,6353.71,6323.38,6281.79,6266.88,6482.72,6643.18,6864.19,7171.83,6045.06
35,1788.93,1815.74,1818.6,1763.82,1111.17,1182.45,1214.93,1228.3,1252.34,1377.5,1481.66,1570.07,1642.61,1752.04,1902.1,2120.55,2313.34,2511.9,2640.63,2603.58,2716.7,2862.91,3022.6,3191.86,3364.28,3541.38,3728.1,3928.37,4159.34,4388.8,4191.57
36,3379.83,3155.26,2969,2656.02,2630.84,2633.53,2671.69,2719.9,2775.05,2825.62,2858.01,2903.92,2954.42,3033.33,3160.89,3144.94,3176.92,3224.76,3226.6,3219.96,3223.51,3242.35,3300.95,3372.9,3470.79,3570.42,3634.38,3665.12,3711.85,3742.86,3666.41
37,31300.34,30332.36,30321.43,30858.73,31991.05,32599.63,32873.83,34034.46,34697.09,35782.69,37194.4,37309.65,38169.11,39268.21,40426.23,42046.87,43358.18,45888.48,45851.63,44003.62,44861.52,45822.6,46126.51,46704.76,47564.61,47522.14,47457.59,48317.1,48796.81,49006.74,45900.18
38,75849.91,73299.28,72193.95,72296.46,72404.98,71946.15,71280.47,70762.23,86816.73,85124.99,82163.08,79608.16,78520.43,77858.55,76443.73,79425.19,80513.48,80595.67,77987.97,70428.43,66882.51,66255.63,65835.09,65598.18,66326.89,67241.28,68484.51,69753.09,71784.05,73633.7,67871.2
39,1201.67,1165.24,1060.64,1033.83,1053.75,1098.89,1027.65,1055.26,1078.45,1091.36,1040.1,1062.72,1077.95,999,1037.84,1026.91,1055.09,1082.69,1085.44,1161.19,1201.35,1242.71,1300.29,824.94,822.61,852.75,884.5,912.8,933.11,945.14,936.29
40,1003.79,1055.16,1103.8,901.03,960.59,940.68,929.58,949.08,980.23,939.27,897.35,964.74,1007.06,1111.6,1430.37,1618.14,1572.48,1569.75,1564.79,1577.67,1732.69,1676.77,1765.19,1804.32,1866.27,1857.11,1687.05,1587.03,1576.32,1579.63,1519.04
41,9849.65,10444.75,11421.04,11977.03,12382.88,13287.87,13990.93,14828.02,15271.47,15022.92,15638,15973.62,16293.19,16782.94,17807.17,18634.63,19603.7,20346.74,20840.4,20298.25,21262.47,22337.86,23300.44,24006.81,24173.06,24440.42,24531.36,24470.7,25028.91,24967.58,23324.52
42,1423.9,1534.71,1731.66,1949.53,2178.92,2391.48,2601.36,2812.71,3004.43,3206.73,3451.68,3712.34,4024.36,4400.83,4817.21,5334.65,5979.78,6795.17,7412.87,8069.35,8884.59,9680.1,10370.73,11101.94,11851.4,12612.35,13399.14,14243.53,15134,15977.65,16315.82
43,28798.46,30189.16,31803.29,33200.21,34420.25,34546.41,34453.84,35910.66,33517.19,34030.77,36317.12,36252.66,36690.4,37886.47,40862.67,43690.39,46463.58,49043.95,49788.81,48459.96,51360.97,53472.99,53785.15,55230.86,56359.3,57215.95,58096.3,59849.25,61062.95,59586.2,56153.97
44,48773.04,49155.68,54358.11,55959.17,57163.68,57866.7,56472.96,55196.02,51609.88,49336.72,51027.56,51283.81,54498.78,59342.93,73322.93,77395.68,85814.71,96154.36,97345.22,96493.79,118085.57,140321.91,149702.44,161971.46,155201.74,119406.92,116519.51,126144.1,132373.54,127272.55,57728.99
45,8307.25,8308.93,8478.2,8764.53,9100.98,9400.31,9424.1,9580.09,9473.82,8927.73,9042.66,9051.41,9137.46,9356.21,9716.5,10049.13,10586.79,11161.51,11393.2,11395.56,11783.3,12480.55,12852.63,13390.49,13852.24,14095.75,14194.52,14171.32,14314.86,14585.3,13448.93
46,3061.33,2812.28,2964.22,2966.22,2730.63,2751.16,2642.09,2675.58,2639.3,2621.57,2833.59,2829.08,2825.8,2817.31,2804,2815.7,2821.94,2777.14,2819.66,2840.63,2878.27,2924.69,2946.2,3005.51,2996.38,2959.5,2987.97,3032.26,3073.12,3058.82,2989.17
47,5068.29,5049.21,5040.36,4854.63,4461.66,4510.63,4571.97,4414.31,4448.41,4209.77,4399.84,4438.69,4512.43,4420.23,4438.98,4634.97,4841.6,4368.59,4487.38,4847.76,5169.17,5137.61,5504.18,5331.9,5552.84,5224.3,4544.08,4234.66,3928.43,3825.7,3433.96
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,9932.63,9895.5,10528.35,10988.78,11198.03,11378,11255.97,11595.94,12148.2,12394.55,12624.07,12832.57,13054.72,13411.85,13802.73,14149.52,14976.82,15989.33,16527.44,16174.28,16830.44,17360.2,17994.54,18233.02,18669.1,19141.68,19736.67,20347.03,20672.62,20937.54,19903.14
50,4271.57,4122.07,3967.56,3822.91,3723.79,3858.69,4025.03,4277.61,4328.76,4258.22,4137.96,3953.12,3760.72,3508.06,3545.09,3505.49,3527.24,3488.65,3574.52,3619.58,3778.21,3491.02,3666.64,3961.83,4225.96,4417.15,4615.71,4830.75,5033.48,5212.55,5181.31
51,19264.72,15319.22,13884.49,13003.15,13915.27,15146.72,16273.52,17355.87,17749.61,17670.22,18362.11,19661.06,20773.85,21915.56,22818.54,23771.95,24940.02,26171,26670.22,24754.16,24500.07,24563.85,24078.33,24057.81,24072.44,24884.67,25944.26,27154.09,28192.33,29336.09,27080.19
52,5153.3,4354.3,3717.6,2905.73,2933.76,3128.02,3553.22,3745.59,3734.63,3962.12,4383.9,4626.62,4777.21,4927.7,4987.12,5154.07,5922.13,6162.19,6565.88,6832.03,7192.74,7575.23,7804.85,8068.36,8340.62,8626.01,8747.38,8902.36,9103.43,9103.43,9103.43
53,20142.68,20847.65,22254.88,23069.15,23911.03,25023.88,26040.06,27510.91,28511.59,28681.31,29669.86,30562.32,30646.15,30107.18,29653.96,29102.86,28829.02,28963.41,29227.08,28883.1,28543.36,28313.05,28040.04,27503.79,26826.59,26548.7,26009.53,25475.49,25054.9,24494.34,20300.32
54,25286.28,24822.35,26442.71,25992.49,26962.58,28692.37,28591.26,28933.28,30327.21,31488.62,33013.98,33950.96,34813.68,35295.36,36576.87,37803.58,38930.61,40053.41,40484.61,38618.01,38379.09,37562.45,35719.32,33456.29,33207.77,34472.3,36523.73,38050.86,39559.49,40226.81,37655.18
55,23585.18,20895.88,20768.79,20760.05,21356.31,22758.6,23756.98,23659.32,23597.31,23948.39,24976.51,25833.41,26289.63,27239.56,28542.25,30384.45,32352.81,33956.25,34580.44,32782.61,33483.14,34002.19,33688.1,33661.47,34386.7,36168.42,37014.96,38824.89,39932.99,40981.06,38509.27
56,2685.25,2532.32,2318.65,2182.79,2105.88,1985.66,1895.01,1754.83,1727.53,1820.16,1811.96,1863.6,1870.79,1891.21,1917.53,1976.97,1944.65,1910.13,1962.32,1934.14,1915.06,1920.72,1936.36,1947.71,1958.69,1927.17,1904.77,1829.6,1745.49,1745.49,1745.49
57,1819.72,1606.33,1382.76,1150.84,1066.47,1039.75,1000.69,921.42,885.79,828.21,751.56,715.68,715.45,732.54,757.69,778.97,794.43,817.07,839.82,835.61,865.68,894.83,926.79,972.46,1029.79,1065.24,1055.57,1059.81,1085.89,1097.95,1082.45
58,39027.98,39469.32,40108.89,39979.76,41969.69,43015.68,44013.39,45260.14,46096.37,47298.54,48907.01,49133.22,49204.9,49262.64,50446.54,51483.27,53322.29,53569.03,52982.53,50114.05,50825.41,51293.21,51216.31,51479.27,52048.34,52892.65,54185.01,55356.68,56178.77,57161.69,55819.91
59,3413.22,2977.47,3167.19,3387.76,3217.07,3345.83,3078.99,3076.8,2920.12,2854.96,2781.75,2729.54,2698.13,2877.38,3101.37,3145.26,3463.83,3543.39,3643.11,3728.97,3762.05,3830.26,3924.91,4028.43,4238.94,4488.8,4709.52,4885.21,5214.07,5534.77,5481.11
60,7775.44,7885.27,8026.02,8168.01,8144.83,8384.49,8665.72,8897.9,9287.54,9367.81,9611.53,9602.5,9308.36,9862.74,10122.47,10160.99,10613.69,11275.38,12072.85,11928.44,12003.77,11971.02,11837.24,11708.14,12216.53,11873.74,12154.75,11304.04,11527.57,12368.94,10288.87
61,6203.21,6143.85,6706.03,7068.11,7122.38,7396.84,7707.4,8255.56,8670.44,9043.6,9322.14,9410.03,9690.6,9424.8,9533.32,10291.3,11087.48,11756.47,11980.84,11944.35,12782.46,13024.33,13219.69,13702.32,14499.63,15328.36,16166.61,16735.36,17711.8,18412.9,17003.01
62,8293.74,8450.15,8432.62,8406.56,8571.74,8575.67,8539.34,8723.83,8826.39,8243.41,8176.34,8350.89,8541.67,8625.79,9178.42,9503.69,9757.38,9805.65,10257.4,10148.87,10340.97,10984.28,11431.38,11818.59,12078.47,11896.38,11551.62,11617.91,11561.75,11370.6,10329.2
63,6086.69,6016.91,6152.93,6203.07,6321.25,6483.32,6671.09,6897.52,7138.21,7422.84,7744.72,7867.51,7905.41,8007.65,8184.07,8397.03,8814.15,9274.98,9763.5,10031.03,10340.07,10302.44,10301.11,10290.19,10353.67,10570.45,10795.81,11014.49,11366.34,11763.25,11951.45
64,5287.5,5294.05,5588.25,5833.53,6028.8,6239.39,6222.21,6354.54,6465.16,6551.75,6577.15,6591.27,6655.49,6723.66,6749.98,6900.49,7168,7269.72,7392.9,7208.12,7328.8,7575.84,7754.99,7892.47,7990.44,8143.33,8309.9,8454.05,8615.69,8776.12,7982.63
65,1039.99,996.88,1299.93,1395.4,1572.06,1781.26,2857.5,6868.49,8165.99,9851.28,11176.52,17523.55,20084.34,21944.51,29004.19,32390.21,33330.89,36685.34,41249.49,39914.18,34732.22,35377.74,36671.36,33678.74,32436.55,28313.43,24827.03,22550.96,20386.01,18502.56,17007.62
66,767.01,687.54,605.77,661.31,659.09,676.59,736.95,737.33,691.22,706.16,727.77,765.81,755.43,718.33,793.09,862.36,929.69,1008.14,1086.7,1150.21,1259.02,1360.94,1437.38,1545.18,1656.63,1779.08,1894.9,2021.56,2103.52,2221.4,2296.83
67,17045.41,15171.21,13059.93,12064.5,11928.98,12730.72,13558.57,15503.84,16332.82,16215.58,17765.21,18952.11,20364.01,22049.68,23691.15,26096.99,28814.92,31140.58,29621.76,25337.18,26015.75,27990.14,28997.32,29525.12,30494.1,31038.8,32008.93,33821.93,35097.7,36399.93,35215.36
68,5097.82,5047.37,5079.63,5115.22,5123.08,5258.97,5353.19,5416.68,5464.12,5545.1,5579.14,5592.51,5806.27,6009.5,6206.09,6551.01,6906.56,7167.54,7176.21,7236.73,7459.23,7575.72,7930.87,8179.82,8193.67,8307.78,8321.02,8408.04,8520.59,8652.92,8404.73
69,767.01,687.54,605.77,661.31,659.09,676.59,736.95,737.33,691.22,706.16,727.77,765.81,755.43,718.33,793.09,862.36,929.69,1008.14,1086.7,1150.21,1259.02,1360.94,1437.38,1545.18,1656.63,1779.08,1894.9,2021.56,2103.52,2221.4,2296.83
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,8451.43,8146.94,8538.57,8599.26,8912.16,9019.26,9344.2,9042.41,9075.11,9798.36,9575.86,9732.43,10027.44,10117.52,10630.48,10656.14,10771.44,10573.6,10566.91,10319.37,10547.91,10787.64,10919.48,11429.33,12058.01,12569.06,12820.76,13429.3,13846.12,13684.29,11450.75
73,32939.38,30831.61,29648.74,29310.31,30340.82,31499.81,32548.02,34506.77,36293.39,37795.06,39894.19,40842.34,41439.02,42168.69,43724.97,44786.91,46412.2,48664.27,48817.99,44662.1,45874.66,46825.82,45952.25,45328.58,44976.78,45072.59,46206.79,47570.13,48049.58,48641.62,47167.43
74,33732.01,33897.23,34268.54,33905.88,34576.54,35177.66,35548.63,36250.69,37413.44,38494.95,39732.28,40226.63,40388.63,40433.49,41272.63,41643.99,42367.57,43127.21,42996.21,41546.49,42147.67,42864.02,42790.63,42816.27,43021.39,43345.79,43705.15,44577.06,45284,46017.77,42313.19
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
