Language,Lang. Code,Nations Using
English,1,99
French,2,47
Arabic,3,28
Spanish,4,24
Russian,5,15
Portuguese,6,10
Dutch,7,7
German,8,7
Italian,9,6
Mandarin,10,4
Hungarian,11,4
Swahili,12,4
Kurdish,13,4
Malay,14,3
Cantonese,15,3
Serbian,16,3
Uzbek,17,3
Berber,18,3
Quechua,19,3
Creole,20,3
Albanian,21,2
Catalan,22,2
Bengali,23,2
Croatian,24,2
Papiamento,25,2
Greek,26,2
Korean,27,2
Danish,28,2
Tigrinya,29,2
Faroese,30,2
Finnish,31,2
Hindi,32,2
Hebrew,33,2
Malagasy,34,2
Nepali,35,2
Polish,36,2
Romanian,37,2
Samoan,38,2
Somali,39,2
Swedish,40,2
Turkish,41,2
Turkmen,42,2
Kikongo,43,2
Chamorro,44,2
Afrikaans,45,2
Hausa,46,2
Sami,47,2
Wolof,48,2
Yoruba,49,2
Aymara,50,2
Dari,51,1
Armenian,52,1
Azerbaijani,53,1
Belarusian,54,1
Dzongkha,55,1
Bosnian,56,1
Bulgarian,57,1
Kirundi,58,1
Khmer,59,1
Sango,60,1
Czech,61,1
Estonian,62,1
Amharic,63,1
Georgian,64,1
Haitian,65,1
Icelandic,66,1
Indonesian,67,1
Persian,68,1
Japanese,69,1
Kazakh,70,1
Kyrgyz,71,1
Lao,72,1
Latvian,73,1
Lithuanian,74,1
Luxembourgish,75,1
Dhivehi,76,1
Maltese,77,1
Marshallese,78,1
Mongolian,79,1
Montenegrin,80,1
Burmese,81,1
Nauruan,82,1
Niuean,83,1
Macedonian,84,1
Norwegian,85,1
Urdu,86,1
Palauan,87,1
Filipino,88,1
Kinyarwanda,89,1
Seychellois,90,1
Slovak,91,1
Slovenian,92,1
Zulu,93,1
Sinhala,94,1
Tajik,95,1
Thai,96,1
Tetum,97,1
Tokelauan,98,1
Tongan,99,1
Tuvaluan,100,1
Ukrainian,101,1
Bislama,102,1
Vietnamese,103,1
Pashto,104,1
Umbundu,105,1
Fon,106,1
Tswana,107,1
Mossi,108,1
Kriolu,109,1
Cook,110,1
Dioula,111,1
Lingala,112,1
Swazi,113,1
Oromo,114,1
Fijian,115,1
Tahitian,116,1
Mandinka,117,1
K'iche,118,1
Fula,119,1
Crioulo,120,1
Guyanese,121,1
Latin,122,1
Javanese,123,1
Irish,124,1
Manx,125,1
Jamaican,126,1
Jèrriais,127,1
Gilbertese,128,1
Sesotho,129,1
Chichewa,130,1
Bambara,131,1
Shimaore,132,1
Nahuatl,133,1
Emakhuwa,134,1
Shan,135,1
Maithili,136,1
Frisian,137,1
Māori,138,1
Miskito,139,1
Tok,140,1
Guarani,141,1
Xhosa,142,1
Tamil,143,1
Sranan,144,1
Ewe,145,1
Welsh,146,1
Bemba,147,1
Shona,148,1
Kriol,149,1
Shanghainese,150,1
Islands,151,1
Baoulé,152,1
Greenlandic,153,1
Mam,154,1
Susu,155,1
Sundanese,156,1
Azeri,157,1
Patois,158,1
Chinese,159,1
Pulaar,160,1
Mauritian,161,1
Maya,162,1
Sena,163,1
Karen,164,1
Oshiwambo,165,1
Carolinian,166,1
Punjabi,167,1
Pisin,168,1
Cebuano,169,1
Gagauz,170,1
Dinka,171,1
Basque,172,1
Tongo,173,1
Luganda,174,1
Scots,175,1
Nyanja,176,1
Ndebele,177,1